ID;Label;crop2-fix-512-7_acc.pth
['RAID/train/crop512-fix//N_1064.png'];0.0;0.013372903689742088
['RAID/train/crop512-fix//N_823.png'];0.0;0.11305416375398636
['RAID/train/crop512-fix//P_311.png'];1.0;0.9153374433517456
['RAID/train/crop512-fix//N_1181.png'];0.0;0.024782009422779083
['RAID/train/crop512-fix//P_748.png'];1.0;0.6756800413131714
['RAID/train/crop512-fix//P_682.png'];1.0;0.987043023109436
['RAID/train/crop512-fix//N_1273.png'];0.0;0.022002415731549263
['RAID/train/crop512-fix//N_1699.png'];0.0;3.7119842755117816e-09
['RAID/train/crop512-fix//N_1122.png'];0.0;0.00011498532694531605
['RAID/train/crop512-fix//N_1492.png'];0.0;0.0009791007032617927
['RAID/train/crop512-fix//N_1628.png'];0.0;0.013355034403502941
['RAID/train/crop512-fix//P_683.png'];1.0;0.4378875494003296
['RAID/train/crop512-fix//N_1633.png'];0.0;0.0006850961945019662
['RAID/train/crop512-fix//N_1244.png'];0.0;0.004614909645169973
['RAID/train/crop512-fix//N_1521.png'];0.0;0.15718449652194977
['RAID/train/crop512-fix//N_1140.png'];0.0;4.857218755205395e-06
['RAID/train/crop512-fix//N_441.png'];0.0;0.11832956224679947
['RAID/train/crop512-fix//N_898.png'];0.0;0.010311350226402283
['RAID/train/crop512-fix//P_69.png'];1.0;0.840575635433197
['RAID/train/crop512-fix//P_154.png'];1.0;0.9954706430435181
['RAID/train/crop512-fix//P_440.png'];1.0;0.9601899981498718
['RAID/train/crop512-fix//N_1293.png'];0.0;0.0018663156079128385
['RAID/train/crop512-fix//N_1746.png'];0.0;0.09167460352182388
['RAID/train/crop512-fix//P_86.png'];1.0;0.940662682056427
['RAID/train/crop512-fix//N_238.png'];0.0;0.036598071455955505
['RAID/train/crop512-fix//N_1056.png'];0.0;0.09263595938682556
['RAID/train/crop512-fix//N_473.png'];0.0;0.28054001927375793
['RAID/train/crop512-fix//N_1145.png'];0.0;0.0003043944016098976
['RAID/train/crop512-fix//P_227.png'];1.0;0.98834627866745
['RAID/train/crop512-fix//P_699.png'];1.0;0.9269436001777649
['RAID/train/crop512-fix//P_737.png'];1.0;0.23833023011684418
['RAID/train/crop512-fix//N_1472.png'];0.0;1.2801675438822713e-05
['RAID/train/crop512-fix//P_753.png'];1.0;0.9950443506240845
['RAID/train/crop512-fix//N_888.png'];0.0;0.34666839241981506
['RAID/train/crop512-fix//P_540.png'];1.0;0.9952840209007263
['RAID/train/crop512-fix//P_235.png'];1.0;0.980708658695221
['RAID/train/crop512-fix//N_1721.png'];0.0;0.03965133801102638
['RAID/train/crop512-fix//N_1360.png'];0.0;0.03492649644613266
['RAID/train/crop512-fix//N_1572.png'];0.0;0.02139686606824398
['RAID/train/crop512-fix//N_873.png'];0.0;0.40756598114967346
['RAID/train/crop512-fix//N_991.png'];0.0;0.012334967963397503
['RAID/train/crop512-fix//N_815.png'];0.0;0.00465904688462615
['RAID/train/crop512-fix//N_1066.png'];0.0;0.01074557937681675
['RAID/train/crop512-fix//P_395.png'];1.0;0.9781690835952759
['RAID/train/crop512-fix//P_376.png'];1.0;0.979630708694458
['RAID/train/crop512-fix//P_526.png'];1.0;0.4414038360118866
['RAID/train/crop512-fix//N_1764.png'];0.0;0.012910168617963791
['RAID/train/crop512-fix//N_1647.png'];0.0;6.377135486346219e-10
['RAID/train/crop512-fix//P_427.png'];1.0;0.8819385766983032
['RAID/train/crop512-fix//N_1243.png'];0.0;0.0025779891293495893
['RAID/train/crop512-fix//N_1860.png'];0.0;0.07934650033712387
['RAID/train/crop512-fix//P_580.png'];1.0;0.980040431022644
['RAID/train/crop512-fix//N_1084.png'];0.0;0.00021328963339328766
['RAID/train/crop512-fix//N_1295.png'];0.0;0.06509822607040405
['RAID/train/crop512-fix//N_1357.png'];0.0;0.029601383954286575
['RAID/train/crop512-fix//P_270.png'];1.0;0.9685021638870239
['RAID/train/crop512-fix//N_1158.png'];0.0;0.018466521054506302
['RAID/train/crop512-fix//N_1523.png'];0.0;0.003060667309910059
['RAID/train/crop512-fix//P_546.png'];1.0;0.9638217091560364
['RAID/train/crop512-fix//P_151.png'];1.0;0.9975162744522095
['RAID/train/crop512-fix//N_1627.png'];0.0;2.758906418875995e-07
['RAID/train/crop512-fix//N_1092.png'];0.0;0.0004026070819236338
['RAID/train/crop512-fix//N_1026.png'];0.0;0.0020812025759369135
['RAID/train/crop512-fix//P_565.png'];1.0;0.940403401851654
['RAID/train/crop512-fix//P_83.png'];1.0;0.9933211207389832
['RAID/train/crop512-fix//N_1499.png'];0.0;0.0006814149091951549
['RAID/train/crop512-fix//P_535.png'];1.0;0.9987202882766724
['RAID/train/crop512-fix//P_776.png'];1.0;0.9905782341957092
['RAID/train/crop512-fix//N_1804.png'];0.0;0.0001114960468839854
['RAID/train/crop512-fix//N_1497.png'];0.0;0.013805033639073372
['RAID/train/crop512-fix//N_1272.png'];0.0;0.059567756950855255
['RAID/train/crop512-fix//N_1065.png'];0.0;0.002496368018910289
